id,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,AveragePrice
12697,1620.45,102.47,788.49,0.0,729.49,720.0,9.49,0.0,0,2016,1.57
8052,6347964.79,3529761.56,1305030.08,18206.06,1494967.09,1296031.4,183062.26,15873.43,1,2017,0.74
10155,1313.43,97.1,905.1,0.0,311.23,121.72,189.51,0.0,0,2015,1.78
1320,2710710.15,531460.61,1328248.62,203932.87,647068.05,597061.79,48069.52,1936.74,1,2015,1.15
13668,9220.95,3417.54,3561.51,0.0,2241.9,580.64,1661.26,0.0,0,2016,2.13
10886,10924.58,8585.87,1454.55,0.0,884.16,866.67,17.49,0.0,0,2015,1.59
9156,1752.14,82.3,105.49,0.0,1564.35,1564.35,0.0,0.0,0,2015,1.9
689,257472.31,88573.56,43702.48,78776.6,46419.67,33816.62,1081.83,11521.22,1,2015,1.17
14704,13156.18,2037.56,3390.26,0.0,7728.36,5526.32,2202.04,0.0,0,2016,1.87
10368,1438.14,13.52,823.66,0.0,600.96,393.33,207.63,0.0,0,2015,1.61
2607,228585.31,135741.88,33351.68,40.46,59451.29,40754.56,18696.73,0.0,1,2015,1.21
14465,4042.51,1101.45,422.83,0.0,2518.23,0.0,2518.23,0.0,0,2016,1.21
9987,3485.54,35.17,122.39,0.0,3327.98,3327.98,0.0,0.0,0,2015,1.84
3541,127392.78,1165.74,82541.69,2576.45,41108.9,39610.98,1472.27,25.65,1,2016,1.46
5096,308342.51,121219.4,62511.84,2501.78,122109.49,72546.57,49562.92,0.0,1,2016,1.02
12473,8981.41,667.31,4129.75,0.0,4184.35,501.81,3682.54,0.0,0,2016,1.47
1460,999169.64,13652.41,814571.57,863.58,170082.08,139508.76,30573.32,0.0,1,2015,1.16
5693,582068.66,301471.59,63898.41,100.9,216597.76,154627.41,55794.73,6175.62,1,2017,1.2
15556,129785.91,3726.68,29839.21,8.09,96034.06,86209.28,9824.78,0.0,0,2017,1.54
14086,13275.24,1816.69,9171.8,6.61,2280.14,657.38,1622.76,0.0,0,2016,1.97
4377,291385.56,17405.6,223021.98,4022.89,46935.09,46935.09,0.0,0.0,1,2016,1.48
2736,5338992.15,2786200.82,1654563.98,108561.0,789666.35,608751.49,180702.04,212.82,1,2015,0.98
7301,290011.0,163532.82,41183.06,75.44,85219.68,51987.48,33232.2,0.0,1,2017,1.52
15215,38542.5,78.31,34378.08,0.0,4086.11,4086.11,0.0,0.0,0,2017,1.85
15899,17954.08,1900.85,3776.59,0.0,12276.64,11577.52,699.12,0.0,0,2017,1.15
18096,24614.51,1558.03,10118.36,0.0,12938.12,12934.79,3.33,0.0,0,2018,1.65
6315,230384.71,57747.31,39113.6,10512.03,123011.77,106301.97,15915.31,794.49,1,2017,1.59
10963,34522.02,5108.15,17178.11,16.73,12219.03,9923.77,2295.26,0.0,0,2015,1.9
11656,3240.47,1378.06,1720.88,0.0,141.53,56.67,84.86,0.0,0,2015,2.0
17270,4857.02,258.59,1820.91,0.0,2777.52,30.0,2747.52,0.0,0,2017,1.76
9792,70858.71,34792.41,26156.12,45.91,9864.27,2923.33,6940.94,0.0,0,2015,1.09
8400,7187200.64,2511913.67,1422660.4,123827.42,3128799.15,1938407.82,1187663.27,2728.06,1,2017,1.02
